AUS,16.50695995,17.94354938,17.28031183,18.00245691,18.9827747,19.68531481,20.60981426,18.08939302,18.13229655,21.21395407,21.4707052,22.39023042,25.60774809
BRA,12.5894529,11.14049999,11.88721333,11.96971682,12.37105526,14.48571488,15.9999584,14.311719,14.74391203,14.06645865,11.35004765,9.001534665,9.045782477
CAN,15.49959211,14.71129775,15.61528452,15.49184234,14.66524653,14.82804766,14.09887722,14.3483562,15.42187895,16.10018141,15.33415413,15.04705864,13.66966561
FRA,26.29482779,25.0896227,26.66266056,27.15599792,27.4407038,28.18460929,27.90946271,25.99700542,25.91703366,26.91144459,23.14438397,21.91946457,20.75635965
DEU,16.88486217,16.33754269,17.22153827,17.29432832,17.20601614,17.82123201,18.07932578,15.84732615,15.74446286,16.38465067,15.49963163,15.38139127,15.9912089
ITA,8.014433178,7.969419136,7.592959599,7.770471735,7.735413739,8.150901386,8.289540583,7.804313324,7.475531927,7.7567705,8.585572585,7.769317424,8.769754566
KOR,32.07439757,28.1790538,28.21746718,29.81577938,30.05823381,31.21077647,30.52376898,32.54563349,36.3907065,32.40443458,35.7229847,36.1263443,16.93826321
MEX,22.13548939,21.14743249,21.3529893,20.51078069,20.19739103,19.5702756,20.63766375,21.16605035,20.88855294,20.40583358,21.50524939,19.79848921,19.35152362
GBR,23.28647472,23.28893043,23.4467992,23.57438288,22.19217535,22.32275235,23.54590131,22.60672202,22.31955799,23.08326246,22.99716275,23.85368382,26.52313699
RUS,9.373488175,8.389823629,9.056465013,10.60725207,12.0883256,15.95212486,15.74546637,12.2931504,11.31874355,12.87316629,9.134014294,9.688114183,
USA,22.60666835,20.61303528,20.16329715,20.1783051,20.46714365,21.38094108,22.411343,19.25881837,18.47405364,18.67265174,19.48384869,19.8938692,17.85045375
JPN,19.08106454,18.34932061,18.20156775,17.72720913,17.75127848,18.01897198,17.59211122,17.56550523,17.26924136,17.00016069,18.60103393,17.97597394,13.36995553
IND,7.72334081,7.868565007,7.699918013,8.86996678,9.217166203,8.021878855,7.660357231,7.360672823,9.040355719,10.22349936,11.0322568,10.21221554,12.48172829
CHN,32.12365456,30.48393093,30.84868317,31.57436297,29.69541489,30.42194543,30.24264141,30.90723862,31.54509838,30.81720434,31.27558573,29.95781495,23.11867451
VNM,13.12845171,18.80949757,27.16079703,33.59562022,32.0548542,36.36831241,38.05574646,41.73806712,40.75012108,40.4333961,41.74007736,41.53960795,38.63280712
