CAN,4696.438965,4835.433594,4683.612793,4678.261719,4595.637695,4582.379395,4428.172852,4467.15625
FRA,3910.74585,3980.538574,4114.024414,4199.837402,4282.457031,4386.236328,4467.428223,4624.696777
DEU,4035.213623,4162.499023,4325.220703,4343.317383,4304.865234,4733.358398,4862.625,5087.254395
ITA,1732.518311,1770.694458,1841.75354,1927.146606,1958.363159,2087.557617,2222.208496,2336.938965
KOR,5424.87207,5903.214844,6388.425293,6453.847168,6864.206055,7018.358887,7056.342773,7450.557617
GBR,4105.416504,3988.477295,4030.672363,4178.501465,4285.535156,4397.222168,4448.352051,4491.316895
RUS,3086.45459,3124.333984,3089.558105,3064.155518,3086.59082,3109.763184,2959.96582,2825.539551
USA,3549.275879,3663.786621,3649.938721,3735.776611,3836.598145,3874.786621,3830.462646,3958.563965
JPN,5119.994141,5126.90332,5052.149414,5169.265137,5352.762207,5198.097656,5235.156738,5331.271484
CHN,901.1259766,974.421875,1031.223633,1081.9646,1104.08313,1164.940308,1210.741089,1237.741943
