AUS,52147.02419,62609.66072,68078.04423,68198.41934,62558.24388,56758.8692,49918.79393,53954.55349,57273.52048,55049.57192,51868.24756,60697.24544,65099.84591
BRA,11249.29189,13200.55623,12327.5131,12258.56571,12071.40446,8783.215424,8680.736469,9896.718895,9121.020995,8845.324149,6923.699912,7696.78483,8917.674911
CAN,47562.08343,52223.69611,52669.08996,52635.17496,50955.99832,43596.13554,42315.60371,45129.4293,46548.63841,46374.15275,43562.43583,52515.19984,55522.44569
FRA,40676.06479,43846.46608,40870.85236,42602.71797,43068.54872,36652.92231,37062.53357,38781.04949,41557.85486,40494.89829,39179.74426,43671.30841,40886.25327
DEU,41572.45595,46705.8958,43855.85447,46298.92292,48023.86998,41103.25644,42136.12079,44652.58917,47939.27829,46805.13843,46749.47623,51426.75037,48717.99114
ITA,36035.645,38649.63948,35051.52127,35560.08141,35565.72138,30242.38614,30960.73151,32406.72032,34622.16967,33673.75096,31922.91916,36449.25834,34776.42323
KOR,23079.26013,25097.59543,25459.1689,27179.51701,29252.93124,28737.43917,29280.44032,31600.73587,33447.15628,31902.4169,31721.29891,35142.26427,32422.57449
MEX,9823.164076,10766.60994,10842.73309,11317.49106,11490.02169,10098.17318,9152.737223,9693.330091,10130.3207,10434.57837,8894.89065,10359.14986,11496.52287
GBR,39598.95712,42109.64188,42497.3405,43426.29814,47439.61659,44964.39114,40985.23514,40572.12148,43203.81411,42662.53537,40217.00901,46869.75906,46125.25575
RUS,10674.99023,14311.06445,15420.85938,15974.62207,14095.64648,9313.021484,8704.894531,10720.33203,11287.35449,11536.25879,10194.44141,12532.05078,15270.70605
USA,48650.64313,50065.9665,51784.41857,53291.12769,55123.84979,56762.72945,57866.74493,59907.75426,62823.30944,65120.39466,63528.6343,70219.47245,76329.58227
JPN,44968.15623,48760.07895,49145.28043,40898.6479,38475.39525,34960.63938,39375.47316,38834.05293,39751.1331,40415.95676,40040.76551,40058.53733,34017.27181
IND,1350.63447,1449.603301,1434.017987,1438.057005,1559.863779,1590.174331,1714.279537,1957.969813,1974.377731,2050.1638,1913.219733,2238.127142,2410.888021
CHN,4550.473944,5614.386022,6300.58218,7020.386074,7636.07434,8016.445595,8094.390167,8817.045608,9905.406383,10143.86022,10408.71955,12617.5051,12720.21632
VNM,1684.011772,1953.55715,2190.23244,2367.499331,2558.778758,2595.234844,2760.717101,2992.071532,3267.225069,3491.09141,3586.347176,3756.488901,4163.514299
